Contract Category Type,State Territory Abbreviation,State Territory Name,County Name,Contract ID,Plan ID,ContractPlanID,Sanctioned Plan,Parent Organization Name,Organization Marketing Name,Plan Name,Plan Type,Special Needs Plan (SNP) Indicator,SNP Type,Chronic or Disabling Condition SNP (C-SNP) Condition Type,Part D Coverage Indicator,Annual Part D Deductible Amount,Part D Total Premium,Part C Premium,Monthly Consolidated Premium (Part C + D),In-Network Maximum Out-of-Pocket (MOOP) Amount,Overall Star Rating,PDP Region Code,PDP Region
SNP,KY,Kentucky,Adair,H1036,320,H1036_320,No,Humana Inc.,Humana,Humana Gold Plus SNP-DE H1036-320 (HMO D-SNP),HMO D-SNP,Yes,Dual-Eligible,Not Applicable,Yes,615.0,38.4,0.0,38.4,9250.0,4.5,Not Applicable,Not Applicable
SNP,KY,Kentucky,Adair,H1799,003,H1799_003,No,"Molina Healthcare, Inc.",Passport Advantage,Passport Advantage (HMO D-SNP),HMO D-SNP,Yes,Dual-Eligible,Not Applicable,Yes,615.0,29.4,0.0,29.4,9250.0,3.5,Not Applicable,Not Applicable
SNP,KY,Kentucky,Adair,H1889,008,H1889_008,No,"UnitedHealth Group, Inc.",UnitedHealthcare,UHC Dual Complete KY-S001 (PPO D-SNP),PPO D-SNP,Yes,Dual-Eligible,Not Applicable,Yes,615.0,38.4,0.0,38.4,9250.0,4.0,Not Applicable,Not Applicable
SNP,KY,Kentucky,Adair,H1889,030,H1889_030,No,"UnitedHealth Group, Inc.",UnitedHealthcare,UHC Dual Complete KY-S3 (PPO D-SNP),PPO D-SNP,Yes,Dual-Eligible,Not Applicable,Yes,615.0,38.4,0.0,38.4,9250.0,4.0,Not Applicable,Not Applicable
SNP,KY,Kentucky,Adair,H2400,001,H2400_001,No,"BrightSpring Health Services, Inc.",Abilis Health (HMO SNP),Abilis Health (HMO I-SNP),HMO I-SNP,Yes,Institutional,Not Applicable,Yes,615.0,35.9,0.0,35.9,9250.0,3.0,Not Applicable,Not Applicable
SNP,KY,Kentucky,Adair,H2400,002,H2400_002,No,"BrightSpring Health Services, Inc.",Abilis Health (HMO SNP),Abilis Health Community (HMO I-SNP),HMO I-SNP,Yes,Institutional,Not Applicable,Yes,615.0,0.0,0.0,0.0,9250.0,3.0,Not Applicable,Not Applicable
MA-PD,KY,Kentucky,Adair,H3975,001,H3975_001,No,Centene Corporation,Wellcare,Wellcare Simple Open (PPO),PPO,No,Not Applicable,Not Applicable,Yes,615.0,0.0,0.0,0.0,7500.0,3.0,Not Applicable,Not Applicable
MA,KY,Kentucky,Adair,H3975,002,H3975_002,No,Centene Corporation,Wellcare,Wellcare Patriot Giveback Open (PPO),PPO,No,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,0.0,Not Applicable,6000.0,3.0,Not Applicable,Not Applicable
SNP,KY,Kentucky,Adair,H3975,004,H3975_004,No,Centene Corporation,Wellcare,Wellcare Dual Access Sync Open (PPO D-SNP),PPO D-SNP,Yes,Dual-Eligible,Not Applicable,Yes,400.0,32.4,0.0,32.4,9250.0,3.0,Not Applicable,Not Applicable
MA-PD,KY,Kentucky,Adair,H4036,034,H4036_034,No,"Elevance Health, Inc.",Anthem Blue Cross and Blue Shield,Anthem Medicare Advantage 3 (PPO),PPO,No,Not Applicable,Not Applicable,Yes,300.0,44.0,0.0,44.0,5900.0,4.0,Not Applicable,Not Applicable
MA-PD,KY,Kentucky,Adair,H4036,036,H4036_036,No,"Elevance Health, Inc.",Anthem Blue Cross and Blue Shield,Anthem Medicare Advantage (PPO),PPO,No,Not Applicable,Not Applicable,Yes,250.0,15.0,0.0,15.0,8000.0,4.0,Not Applicable,Not Applicable
