State Name,County Name,FIPSST,FIPSCNTY,FIPS,SSAST,SSACNTY,SSA,Eligibles,Enrolled,Penetration
Kentucky,Adair,21,1,21001,18,0,18000,"4,805","2,487",51.76%
Kentucky,Allen,21,3,21003,18,10,18010,"5,011","2,701",53.90%
Kentucky,Anderson,21,5,21005,18,20,18020,"5,425","3,378",62.27%
Kentucky,Ballard,21,7,21007,18,30,18030,"1,997",939,47.02%
Kentucky,Barren,21,9,21009,18,40,18040,"11,005","5,819",52.88%
Kentucky,Bath,21,11,21011,18,50,18050,"3,022","2,005",66.35%
Kentucky,Bell,21,13,21013,18,60,18060,"6,299","3,758",59.66%
Kentucky,Boone,21,15,21015,18,70,18070,"26,163","14,810",56.61%
Kentucky,Bourbon,21,17,21017,18,80,18080,"4,843","2,806",57.94%
Kentucky,Boyd,21,19,21019,18,90,18090,"11,672","6,933",59.40%
Kentucky,Boyle,21,21,21021,18,100,18100,"7,495","4,171",55.65%
Kentucky,Bracken,21,23,21023,18,110,18110,"2,126","1,358",63.88%
Kentucky,Breathitt,21,25,21025,18,120,18120,"3,284","2,336",71.13%
Kentucky,Breckinridge,21,27,21027,18,130,18130,"5,551","2,808",50.59%
Kentucky,Bullitt,21,29,21029,18,140,18140,"18,524","9,453",51.03%
Kentucky,Butler,21,31,21031,18,150,18150,"3,098","1,901",61.36%
Kentucky,Caldwell,21,33,21033,18,160,18160,"3,338","1,682",50.39%
Kentucky,Calloway,21,35,21035,18,170,18170,"8,677","4,274",49.26%
Kentucky,Campbell,21,37,21037,18,180,18180,"19,680","11,023",56.01%
Kentucky,Carlisle,21,39,21039,18,190,18190,"1,266",703,55.53%
Kentucky,Carroll,21,41,21041,18,191,18191,"2,439","1,526",62.57%
Kentucky,Carter,21,43,21043,18,210,18210,"6,894","4,489",65.11%
Kentucky,Casey,21,45,21045,18,220,18220,"4,103","2,123",51.74%
Kentucky,Christian,21,47,21047,18,230,18230,"12,221","6,231",50.99%
Kentucky,Clark,21,49,21049,18,240,18240,"8,736","5,392",61.72%
Kentucky,Clay,21,51,21051,18,250,18250,"4,822","3,450",71.55%
Kentucky,Clinton,21,53,21053,18,260,18260,"2,565","1,352",52.71%
Kentucky,Crittenden,21,55,21055,18,270,18270,"2,285","1,101",48.18%
Kentucky,Cumberland,21,57,21057,18,271,18271,"1,920","1,004",52.29%
Kentucky,Daviess,21,59,21059,18,290,18290,"23,886","12,371",51.79%
Kentucky,Edmonson,21,61,21061,18,291,18291,"3,173","1,668",52.57%
Kentucky,Elliott,21,63,21063,18,310,18310,"1,668","1,037",62.17%
Kentucky,Estill,21,65,21065,18,320,18320,"3,691","2,398",64.97%
Kentucky,Fayette,21,67,21067,18,330,18330,"56,114","30,598",54.53%
Kentucky,Fleming,21,69,21069,18,340,18340,"3,801","2,407",63.33%
Kentucky,Floyd,21,71,21071,18,350,18350,"9,841","6,722",68.31%
Kentucky,Franklin,21,73,21073,18,360,18360,"15,096","8,553",56.66%
Kentucky,Fulton,21,75,21075,18,361,18361,"1,656",980,59.18%
Kentucky,Gallatin,21,77,21077,18,362,18362,"1,252","1,050",83.87%
Kentucky,Garrard,21,79,21079,18,390,18390,"4,437","2,583",58.22%
Kentucky,Grant,21,81,21081,18,400,18400,"5,757","3,762",65.35%
Kentucky,Graves,21,83,21083,18,410,18410,"8,852","5,003",56.52%
Kentucky,Grayson,21,85,21085,18,420,18420,"6,928","3,836",55.37%
Kentucky,Green,21,87,21087,18,421,18421,"3,067","1,658",54.06%
Kentucky,Greenup,21,89,21089,18,440,18440,"9,607","5,466",56.90%
Kentucky,Hancock,21,91,21091,18,450,18450,"2,163","1,055",48.77%
Kentucky,Hardin,21,93,21093,18,460,18460,"23,629","10,780",45.62%
Kentucky,Harlan,21,95,21095,18,470,18470,"6,962","4,495",64.56%
Kentucky,Harrison,21,97,21097,18,480,18480,"4,801","2,566",53.45%
Kentucky,Hart,21,99,21099,18,490,18490,"4,619","2,523",54.62%
Kentucky,Henderson,21,101,21101,18,500,18500,"10,821","6,052",55.93%
Kentucky,Henry,21,103,21103,18,510,18510,"4,053","2,464",60.79%
Kentucky,Hickman,21,105,21105,18,511,18511,"1,278",625,48.90%
Kentucky,Hopkins,21,107,21107,18,530,18530,"11,090","5,970",53.83%
Kentucky,Jackson,21,109,21109,18,540,18540,"3,291","2,293",69.67%
Kentucky,Jefferson,21,111,21111,18,550,18550,"161,104","82,344",51.11%
Kentucky,Jessamine,21,113,21113,18,560,18560,"11,627","6,461",55.57%
Kentucky,Johnson,21,115,21115,18,570,18570,"5,950","3,912",65.75%
Kentucky,Kenton,21,117,21117,18,580,18580,"33,285","18,769",56.39%
Kentucky,Knott,21,119,21119,18,590,18590,"3,720","2,390",64.25%
Kentucky,Knox,21,121,21121,18,600,18600,"7,785","4,800",61.66%
Kentucky,Larue,21,123,21123,18,610,18610,"3,729","2,016",54.06%
Kentucky,Laurel,21,125,21125,18,620,18620,"15,012","8,882",59.17%
Kentucky,Lawrence,21,127,21127,18,630,18630,"4,010","2,545",63.47%
Kentucky,Lee,21,129,21129,18,640,18640,"1,764","1,243",70.46%
Kentucky,Leslie,21,131,21131,18,650,18650,"2,802","2,012",71.81%
Kentucky,Letcher,21,133,21133,18,660,18660,"5,990","4,019",67.10%
Kentucky,Lewis,21,135,21135,18,670,18670,"3,220","2,246",69.75%
Kentucky,Lincoln,21,137,21137,18,680,18680,"6,253","3,851",61.59%
Kentucky,Livingston,21,139,21139,18,690,18690,"2,732","1,303",47.69%
Kentucky,Logan,21,141,21141,18,700,18700,"6,677","3,512",52.60%
Kentucky,Lyon,21,143,21143,18,710,18710,"2,539","1,240",48.84%
Kentucky,McCracken,21,145,21145,18,720,18720,"17,405","8,375",48.12%
Kentucky,McCreary,21,147,21147,18,730,18730,"3,892","2,463",63.28%
Kentucky,McLean,21,149,21149,18,740,18740,"2,412","1,359",56.34%
Kentucky,Madison,21,151,21151,18,750,18750,"19,429","11,564",59.52%
Kentucky,Magoffin,21,153,21153,18,760,18760,"3,223","2,259",70.09%
Kentucky,Marion,21,155,21155,18,770,18770,"4,566","2,242",49.10%
Kentucky,Marshall,21,157,21157,18,780,18780,"9,209","4,282",46.50%
Kentucky,Martin,21,159,21159,18,790,18790,"2,634","1,806",68.56%
Kentucky,Mason,21,161,21161,18,800,18800,"4,409","2,618",59.38%
Kentucky,Meade,21,163,21163,18,801,18801,"6,344","3,097",48.82%
Kentucky,Menifee,21,165,21165,18,802,18802,"1,825","1,257",68.88%
Kentucky,Mercer,21,167,21167,18,830,18830,"5,921","3,488",58.91%
Kentucky,Metcalfe,21,169,21169,18,831,18831,"2,677","1,592",59.47%
Kentucky,Monroe,21,171,21171,18,850,18850,"2,691","1,374",51.06%
Kentucky,Montgomery,21,173,21173,18,860,18860,"6,458","4,034",62.47%
Kentucky,Morgan,21,175,21175,18,861,18861,"3,217","2,274",70.69%
Kentucky,Muhlenberg,21,177,21177,18,880,18880,"7,849","4,603",58.64%
Kentucky,Nelson,21,179,21179,18,890,18890,"11,509","5,247",45.59%
Kentucky,Nicholas,21,181,21181,18,900,18900,"1,772","1,113",62.81%
Kentucky,Ohio,21,183,21183,18,910,18910,"5,822","3,438",59.05%
Kentucky,Oldham,21,185,21185,18,920,18920,"12,870","5,174",40.20%
Kentucky,Owen,21,187,21187,18,930,18930,"2,859","1,540",53.86%
Kentucky,Owsley,21,189,21189,18,931,18931,"1,114",750,67.32%
Kentucky,Pendleton,21,191,21191,18,932,18932,"3,611","2,311",64.00%
Kentucky,Perry,21,193,21193,18,960,18960,"6,679","4,219",63.17%
Kentucky,Pike,21,195,21195,18,970,18970,"15,411","10,278",66.69%
Kentucky,Powell,21,197,21197,18,971,18971,"3,210","2,172",67.66%
Kentucky,Pulaski,21,199,21199,18,972,18972,"18,085","10,671",59.00%
Kentucky,Robertson,21,201,21201,18,973,18973,564,340,60.28%
Kentucky,Rockcastle,21,203,21203,18,974,18974,"4,290","2,573",59.98%
Kentucky,Rowan,21,205,21205,18,975,18975,"5,059","3,459",68.37%
Kentucky,Russell,21,207,21207,18,976,18976,"4,829","2,703",55.97%
Kentucky,Scott,21,209,21209,18,977,18977,"10,580","5,971",56.44%
Kentucky,Shelby,21,211,21211,18,978,18978,"10,459","5,168",49.41%
Kentucky,Simpson,21,213,21213,18,979,18979,"4,610","2,381",51.65%
Kentucky,Spencer,21,215,21215,18,980,18980,"4,461","2,204",49.41%
Kentucky,Taylor,21,217,21217,18,981,18981,"6,448","3,278",50.84%
Kentucky,Todd,21,219,21219,18,982,18982,"2,611","1,256",48.10%
Kentucky,Trigg,21,221,21221,18,983,18983,"4,203","2,051",48.80%
Kentucky,Trimble,21,223,21223,18,984,18984,"2,122","1,224",57.68%
Kentucky,Union,21,225,21225,18,985,18985,"3,250","1,820",56.00%
Kentucky,Warren,21,227,21227,18,986,18986,"24,210","12,796",52.85%
Kentucky,Washington,21,229,21229,18,987,18987,"3,101","1,436",46.31%
Kentucky,Wayne,21,231,21231,18,988,18988,"5,431","3,333",61.37%
Kentucky,Webster,21,233,21233,18,989,18989,"3,166","1,765",55.75%
Kentucky,Whitley,21,235,21235,18,990,18990,"8,625","5,739",66.54%
Kentucky,Wolfe,21,237,21237,18,991,18991,"1,827","1,338",73.23%
Kentucky,Woodford,21,239,21239,18,992,18992,"6,887","3,763",54.64%
